,Business ID,ID,Review,Rating,Date
0,uazg6WhYVOw3jhWCG_MDBg,eoqQ6cSoPLOd7YWAjWNS4A,"Sadly due to Covid 19 disaster , we avoid eating in restaurant, however we end up checking out nearby restaurant and trying out new places for take out.
One...",5,2020-12-25 15:29:31
1,uazg6WhYVOw3jhWCG_MDBg,jth1qrL_taRqkxNe0r5xSw,Sup Thai Kitchen was recommended by our friends and they insisted we should give them a second try. We visited again and did indoor dining on a Friday...,5,2020-11-14 18:27:22
2,uazg6WhYVOw3jhWCG_MDBg,qZbZ7qQ8omuIMgq-Ju5adA,Sup   means treasure/asset in Thai and this restaurant is such a treasure in Fresh Meadows! The Thai food here is amazing. The dishes are fully cooked and...,5,2020-11-08 17:15:23
3,cegA4jf16vEt7NCQ7cpu2w,0by1FawYnfJSonyQW3QSLQ,"I'm so glad to see this business open and doing well during these hard times. Food is always fresh, delicious and they make generous portions. 
We ordered...",5,2021-01-10 13:34:52
4,cegA4jf16vEt7NCQ7cpu2w,rKMbqLwkCBIuh6KXE7jxlA,"I have been ordering from here via Uber eats during COVID. I also went to pick up my own food once, when I wasn't being lazy & I must say, their drink menu...",5,2021-01-05 03:06:27
5,cegA4jf16vEt7NCQ7cpu2w,-MzURutxJoE3hK_QAi3LEQ,This is my top thai spot for dining-in and delivery. My favorites are the duck pineapple curry. Their appetizers are also delicious. Their pad see ew is...,5,2020-12-05 19:14:25
6,0L03onqNwxWLrbb_FCK79A,58NlugJSPZkGRDZtZ_Xnbw,"No Woodside/Sunnyside food crawl would be completely without Thai food. SirPraPhai is a must-hit (and judging by the 2300+ reviews, it seems like a ton of...",5,2021-01-31 14:17:23
7,0L03onqNwxWLrbb_FCK79A,DY895QKPCPEFG1x2ZicPOw,I've been a regular here all these years while  living in the neighborhood and always find a time to eat here every time I come back. I come here so often...,5,2020-11-12 00:08:31
8,0L03onqNwxWLrbb_FCK79A,EgSkZxmR3CP3nB8nI2sMsg,"I can't even remember the last time I had Thai food (thanks, COVID) so was stoked when my friend had suggested SriPraPhai for a weekend lunch.  The front of...",5,2020-10-29 11:44:20
9,gr3wUszE1972q0GBkmwEXQ,i6x_ReJ8oAOqeuwbyiGR1w,Solid thai restaurant in this neighborhood. It's as close to authentic as you can get around here if you don't want to drive all the way to woodside. Had...,5,2021-01-24 13:32:21
