,Business ID,ID,Review,Rating,Date
0,7YYp_2WYWdRSt_NohV7Psw,kfThRpF-hjfWjwyPgSAYRw,"Must try: Three Tacos Combo and Consomé!

Why: Three tacos for only $10?! Packed with birria meat with onions, cilantro, salsa, and lime. The soft shell had...",5,2021-01-18 07:21:31
1,7YYp_2WYWdRSt_NohV7Psw,jxOA8wOzDGbi9BNq7h47iw,"If you're looking for birria tacos but don't want to go to the infamous taco truck on queens, come here instead.

I come across This fairly new business and...",4,2021-02-03 08:34:45
2,7YYp_2WYWdRSt_NohV7Psw,53j_6H_eTJztLGtSZrmeew,Conveniently located off the 4/5! Very clean and there was no line around 2-3P. Got the $3 Birria Tacos for $10 and consume for $4. Very quick and friendly...,4,2021-01-06 14:34:46
3,6Ct7OeTRn4caY9g0swFBsw,f5EIfn9lcPaOG20gw3j0dQ,Please go support this restaurant! They have covered safe outdoor dining (partitions up) with heaters during covid outdoor dining only (writing this in...,5,2021-01-14 09:56:09
4,6Ct7OeTRn4caY9g0swFBsw,z6F-ZmAyH8_hN5rTciqDzA,Small little hole in the wall place with big flavor. Had the catfish taco and it was amazing the crunch when you bit into the fish combined with the soft...,5,2020-09-30 02:35:05
5,6Ct7OeTRn4caY9g0swFBsw,e5W12U8LXnRaOV6s75oHCg,"This restaurant/bar is operating so smoothly even with COVID.  They have outdoor seating, and each seat is divided by plastic dividers. All of the servers...",5,2020-09-09 06:15:24
6,BbMUXd69i0tlWS2aoppwaQ,fAbJa4Ubh6F-_IppVl_I7w,Delicious Grandma pie... highly recommend. Sweet tomato sauce and just the right amount of fresh garlic and oil. Will definitely order again. Fast and...,5,2021-01-25 19:39:31
7,BbMUXd69i0tlWS2aoppwaQ,5VUvp9lkI3ZV5AIF9HrtIA,Great quality Mexican food with excellent Margaritas. Had the shrimp fajitas - which were the best I ever had in a Mexican restaurant. The portions are not...,4,2020-11-29 05:01:28
8,BbMUXd69i0tlWS2aoppwaQ,Eak-dEj8f5SmwLuemWZiww,"Go-to for Mexican takeout in the EV. Super fast delivery, always good, always hot, and reasonably priced. I love their taco salad. The nachos are also very...",5,2020-12-19 17:00:47
9,RzKR9QcYP03EQ_8DxTxowg,YdKBdMd6GClofTstnIP7Gw,"Covid has brought a new way of living and enjoying time with loved ones. 
My friends from NJ\NY and surrounding came with the last minute idea to get...",5,2020-09-19 14:38:48
10,RzKR9QcYP03EQ_8DxTxowg,AxYeCoPPRcXRP0WXDBTmvQ,"We came here during a really hot summer evening during COVID-19. We sat outside and enjoyed a few drinks and food. The guacamole, chips and salsa were...",4,2020-08-08 08:22:55
